strongagent,"{'truths': 17.428448614361084, 'lies': 2.7890514692752166}"
lazyagent,"{'truths': 13.570099894592447, 'lies': 7.610840732065621}"
colorblindagent,"{'truths': 15.45072387296408, 'lies': 4.495666240676105}"
