strongagent,"{'truths': 13.239078575854641, 'lies': 3.930659185536273}"
colorblindagent,"{'truths': 11.696691031701885, 'lies': 5.640033972288182}"
lyingagent1,"{'truths': 8.637592447055177, 'lies': 14.815479247112112}"
