strongagent,"{'truths': 12.719611328517814, 'lies': 3.842547231863733}"
lazyagent,"{'truths': 10.410967214909345, 'lies': 6.686040580357113}"
lyingagent1,"{'truths': 8.461083742749732, 'lies': 14.467377159730505}"
