lazyagent,"{'truths': 9.813481715306011, 'lies': 6.52891892055208}"
colorblindagent,"{'truths': 10.379583061598913, 'lies': 5.549786892824615}"
lyingagent1,"{'truths': 7.999070246080141, 'lies': 13.541269073084008}"
